VendorID,passenger_count,fare_amount,mean_distance,mean_duration,rush_hour
2,1,7.0,0.8944444444444445,5.764550264550265,0
2,1,4.0,0.6591666666666667,4.929166666666666,1
2,1,7.5,1.72,5.65,0
1,1,16.0,2.9066666666666667,17.068055555555556,1
2,6,29.0,9.065000000000001,32.255,0
1,1,6.0,0.6869230769230769,4.407051282051282,1
2,1,6.0,1.5394117647058825,7.579411764705882,1
2,5,21.5,3.4442857142857144,21.445238095238096,1
2,5,12.5,1.1554545454545455,12.462121212121213,0
1,1,21.0,4.2,29.9,1
1,1,8.5,2.1,10.533333333333333,0
2,1,13.0,0.7276315789473684,9.983333333333334,1
2,5,4.5,0.9587096774193548,7.353225806451612,0
2,4,7.0,1.2128571428571429,10.923015873015872,0
1,1,7.0,1.7533333333333334,9.864285714285714,0
2,6,10.5,2.0733333333333333,15.125925925925925,0
1,3,12.5,1.7366666666666668,10.735185185185186,0
2,1,7.0,1.34375,12.832291666666666,1
1,2,7.0,0.7441666666666666,8.701388888888888,0
2,1,20.0,4.5649999999999995,26.34166666666667,0
1,1,7.5,1.0077777777777779,7.257407407407407,0
2,1,18.0,1.9633333333333334,17.365555555555556,1
2,1,12.0,2.382,17.321666666666665,1
2,1,8.5,1.7333333333333334,11.068888888888889,1
2,1,10.5,0.9748837209302326,7.737984496124032,1
2,1,11.5,1.38,10.455555555555556,1
1,1,14.5,4.39,19.358333333333334,0
2,1,55.0,17.358571428571427,42.69761904761905,0
1,3,19.0,4.387272727272727,19.434848484848484,0
1,1,7.5,0.8345,6.94,0
2,1,6.0,1.513125,10.688541666666666,0
2,2,7.5,1.6286363636363637,15.67121212121212,1
1,2,6.5,1.6576923076923078,11.67051282051282,0
1,1,7.0,1.2841666666666667,7.5125,1
1,1,9.0,1.395,10.807142857142857,0
1,1,5.0,1.0263461538461538,9.357051282051282,0
1,2,7.0,1.5231578947368423,11.078070175438596,1
2,1,6.5,1.3051219512195122,8.928455284552845,0
2,1,26.0,8.18,25.266666666666666,0
2,1,9.5,1.9000000000000001,10.0,0
2,1,8.0,1.273125,8.052083333333334,0
2,1,12.0,1.897391304347826,13.296376811594202,1
2,1,8.0,1.3573333333333333,10.107777777777779,1
2,1,10.5,1.3599999999999999,10.895238095238096,0
2,1,4.0,0.9922950819672132,10.048087431693988,0
1,1,20.0,6.7,11.616666666666667,1
1,1,10.0,2.025,9.112499999999999,1
2,1,7.0,1.6226666666666667,11.204444444444444,0
2,2,5.5,0.6377777777777778,5.6194444444444445,0
2,1,53.0,13.8125,44.28472222222222,1
2,4,21.0,4.56,26.689583333333335,1
2,1,10.5,1.8914285714285715,12.810714285714285,1
1,1,9.0,0.95,10.166666666666668,1
1,1,2.5,0.6228571428571429,2.873809523809524,0
2,1,52.0,19.43166666666667,47.275,0
1,2,5.0,0.7033333333333333,8.76388888888889,0
2,1,45.0,15.393333333333333,64.31666666666666,1
1,1,6.0,1.7356,11.968,0
1,1,15.0,3.79,14.316666666666666,0
2,1,19.5,6.02,16.216666666666665,0
1,1,8.5,1.6226666666666667,11.204444444444444,0
2,1,7.0,2.1242857142857146,10.673809523809524,1
1,1,4.5,0.6692592592592592,6.098765432098765,1
2,1,10.0,1.8025,9.870833333333334,0
1,1,8.0,1.0825925925925926,8.131481481481481,1
2,1,7.5,1.1538461538461537,10.95,0
2,1,8.0,1.5422222222222222,12.17962962962963,0
1,1,4.0,1.1982926829268292,6.242682926829269,1
2,5,7.0,1.0814285714285714,9.107142857142858,0
1,3,25.5,4.416666666666667,26.20555555555556,1
2,1,8.5,1.335,10.120833333333334,0
2,1,7.5,1.44875,7.65625,1
1,1,21.0,5.0,28.933333333333334,1
2,1,5.5,0.72975,8.2675,0
2,1,10.0,1.9245,11.473333333333333,0
